Date,Source,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2017-04,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.492343962443293,20.489104625187956,36.49558571126398
2017-04,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.365611076510035,14.43839230884936,30.29283626022073
2017-04,CMIP6,MPI-ESM1-2-LR,SSP245,ML,30.27175913574578,21.647212030871962,38.89630913856347
2017-04,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.19187498577793,20.02662819614589,36.357124860769446
2017-05,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,31.14474460326387,23.946626873786258,38.342863388885625
2017-05,CMIP6,MPI-ESM1-2-LR,SSP245,MH,24.37370421255357,17.2412824880331,31.506123522787195
2017-05,CMIP6,MPI-ESM1-2-LR,SSP245,ML,32.4374701110528,25.27284269479179,39.602096591055016
2017-05,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,30.624868996080714,23.44635610375322,37.803381827195906
2017-06,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,31.352728709990238,24.328569516544675,38.3768938043973
2017-06,CMIP6,MPI-ESM1-2-LR,SSP245,MH,24.485991247647913,17.466257693637743,31.505723338203385
2017-06,CMIP6,MPI-ESM1-2-LR,SSP245,ML,30.475199374079818,23.70228089136832,37.248123474344034
2017-06,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,30.212555415608385,23.259874661785243,37.165241089857055
2017-07,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.87684714754852,24.21023405290858,35.54346175375415
2017-07,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.81836358181221,17.39344300027466,28.243281625041302
2017-07,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.161599154085753,21.788616867567022,32.5345875262866
2017-07,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.200087118620942,22.646641084430758,33.75353528612427
2017-08,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.87849972905458,22.540507165541253,35.21649287810986
2017-08,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.12646638823218,16.168832227964796,28.08410167296192
2017-08,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.290449304350833,20.453284547414313,32.127615996222175
2017-08,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.27786422317941,21.129456762780773,33.42627247933767
2017-09,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.636135950571056,22.424521520721996,34.847752980660026
2017-09,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.889173085913722,15.542986160977001,28.23535462004552
2017-09,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.852016469594616,20.65214115251498,33.05189420757199
2017-09,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.258591828194888,21.033535524096763,33.48364960789969
2017-10,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.643470880401097,21.49484097565896,33.792099679119566
2017-10,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.44654861322043,14.026610135864185,26.86648382467491
2017-10,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.9870717240216,20.273571554425008,33.70057049368839
2017-10,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.522124580703718,20.181430711938347,32.8628167745969
2017-11,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.68701138607545,20.020561046069037,33.35345798295085
2017-11,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.80847185993223,12.768033439658987,26.848910197524408
2017-11,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.893196020133328,19.24032511185174,34.54607304530568
2017-11,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.84757361289953,18.857997361089097,32.837149464876525
2017-12,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.85717424194269,18.845913507180732,30.868432192127447
2017-12,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.31071358316156,12.985384674609719,25.63603892815985
2017-12,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.82159322623011,18.806824693477807,32.83636585177082
2017-12,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,24.401070769763578,18.06947615738413,30.732664529078278
2018-01,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,22.65506304490967,16.024532330259834,29.28559407835459
2018-01,CMIP6,MPI-ESM1-2-LR,SSP245,MH,17.861856786024628,10.72525699752938,24.99845150617108
2018-01,CMIP6,MPI-ESM1-2-LR,SSP245,ML,23.99474780665777,16.263246278505097,31.726248831014054
2018-01,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,22.401558336002033,15.398980384688643,29.404135577513472
2018-02,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,23.18526075882559,15.919732024088194,30.450791451875453
2018-02,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.337886084156377,10.627666421092927,26.048106218501854
2018-02,CMIP6,MPI-ESM1-2-LR,SSP245,ML,24.962986052062433,16.635461853785294,33.29051064713498
2018-02,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.048056177703895,15.42968654743275,30.666426770440506
2018-03,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.814293425160425,18.21194810764299,35.41663509063116
2018-03,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.31580322232556,12.465262056617897,30.166338096004775
2018-03,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.466588080373466,18.64212792273246,38.29104908064738
2018-03,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.558172115379357,17.583893126503714,35.532448375750135
2018-04,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.63331479218414,23.37822738048909,35.888399994000586
2018-04,CMIP6,MPI-ESM1-2-LR,SSP245,MH,23.36541844618352,17.15385668766724,29.57698008894633
2018-04,CMIP6,MPI-ESM1-2-LR,SSP245,ML,30.722188566443375,24.104002461736474,37.34037554499181
2018-04,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,29.118817005567738,22.76920813849943,35.46842504171191
2018-05,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.68681568061175,22.588556114227163,36.78507564603233
2018-05,CMIP6,MPI-ESM1-2-LR,SSP245,MH,23.120450431846496,16.007794126615547,30.233108026901935
2018-05,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.85227996848466,22.359384028209764,37.34517835640754
2018-05,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.87583657209688,21.6664887771789,36.08518553916486
2018-06,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,30.33648262566097,22.89905045527231,37.773914876290526
2018-06,CMIP6,MPI-ESM1-2-LR,SSP245,MH,23.332604170194422,16.005371125168825,30.65983062553976
2018-06,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.828310272239108,22.533759441055313,37.122854634320525
2018-06,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,29.282728533941842,21.900196555500056,36.6652576927115
2018-07,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,30.113358317294416,24.10861312449827,36.118099307200694
2018-07,CMIP6,MPI-ESM1-2-LR,SSP245,MH,23.172335953507083,17.526088112474838,28.818578643509465
2018-07,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.679135883072185,21.883507640941747,33.47476430353763
2018-07,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.530725106773005,22.630792663511734,34.43065443862707
2018-08,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.033607870235308,21.042680870693765,31.02453826808877
2018-08,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.449232671836402,14.671188977080572,24.227274241689063
2018-08,CMIP6,MPI-ESM1-2-LR,SSP245,ML,24.091446348626423,19.71338673961523,28.469504267913422
2018-08,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,24.636508400638057,19.844143731197708,29.428874092453743
2018-09,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.400856852138368,20.103596997111968,32.69811214427506
2018-09,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.809487075826365,13.249738833691781,26.36924074183829
2018-09,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.196009607085205,18.974540288018193,31.417481199923554
2018-09,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.20736360611793,18.898185919608327,31.516539846975792
2018-10,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.270201820429936,21.228068126962587,33.31233597582481
2018-10,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.496097212682688,14.274954026025116,26.717237737010244
2018-10,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.863782487288304,20.494503808700767,33.23306600767129
2018-10,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.272961376030025,20.11669511179668,32.4292289335356
2018-11,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.18171624578896,19.65628720273209,32.70714530402657
2018-11,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.692621552398382,12.835420716936072,26.549825008850203
2018-11,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.349212717818403,18.961099472770403,33.737320652941555
2018-11,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.380749021760046,18.5721513619884,32.18934561096798
2018-12,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,23.19296816489182,16.226548641306785,30.159389150163022
2018-12,CMIP6,MPI-ESM1-2-LR,SSP245,MH,17.472417399309048,9.920310854646996,25.024516668038093
2018-12,CMIP6,MPI-ESM1-2-LR,SSP245,ML,23.817835185996316,15.803404107661583,31.83225944747537
2018-12,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,22.619627936751694,15.285814798549843,29.953439045831544
2019-01,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,19.74559448788694,12.10617048644154,27.385020835837437
2019-01,CMIP6,MPI-ESM1-2-LR,SSP245,MH,14.859479738709364,6.531494808687965,23.187461617799766
2019-01,CMIP6,MPI-ESM1-2-LR,SSP245,ML,20.530563989810677,11.479696394458514,29.581433372971293
2019-01,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,19.32452534225952,11.202861890861254,27.446189968412625
2019-02,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.11154963898348,16.714501066137423,31.508597958094732
2019-02,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.092988059334076,11.164776837874243,27.02119240172995
2019-02,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.56050123461328,17.081668931224062,34.03933411313291
2019-02,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.859112831186085,16.092513786203952,31.625710877235885
2019-03,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.592898120197017,15.891002630306444,33.294797197074104
2019-03,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.027879777906797,9.93148858941886,28.12427737417666
2019-03,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.18525463742355,16.012513022913932,36.357995868512916
2019-03,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,24.312044477218606,15.149317922230786,33.474773703406186
2019-04,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.89442458941629,20.921288930210928,36.86756441464407
2019-04,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.771944493428407,14.809185380917611,30.734705532407823
2019-04,CMIP6,MPI-ESM1-2-LR,SSP245,ML,30.632665427119505,22.154463266020212,39.11087059762203
2019-04,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.582072906389982,20.4714782034997,36.69267102023697
2019-05,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.219428392836438,20.41229955381533,36.026551894751265
2019-05,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.736177685163266,13.945261980220602,29.527092273911656
2019-05,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.828539477307253,20.46666300336841,37.190412397921065
2019-05,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.544962746049432,19.586344618453833,35.50357661353075
2019-06,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.61498345423315,21.86135218123134,37.36861111205569
2019-06,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.60985382088349,14.900548229977188,30.319159932680442
2019-06,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.561800971355144,20.763729410331752,36.35987431572861
2019-06,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.408803710729153,20.64958163645947,36.16802437060442
2019-07,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.703448782135247,22.200636142299167,33.20626268413952
2019-07,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.056787795627802,15.934935389053427,26.17864276531494
2019-07,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.57546125457968,20.523113536625758,30.62779864247828
2019-07,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.24508429905306,20.917326342217077,31.572840336167662
2019-08,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,25.67575813106953,20.633765577063656,30.717755675193896
2019-08,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.994153290084338,13.971081918340774,24.017230375088932
2019-08,CMIP6,MPI-ESM1-2-LR,SSP245,ML,23.704188875319602,19.103714441782927,28.304664588409967
2019-08,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,24.258772016312367,19.342902058308045,29.174645975255572
2019-09,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.799893461295735,21.136451876468485,34.463334709978575
2019-09,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.956110140031306,14.019270472292744,27.892943714175985
2019-09,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.19251863689996,19.490438390248386,32.89459810779427
2019-09,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.460411778453626,19.751721572745772,33.16910080549946
2019-10,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.4571986837642,20.736529251280828,34.1778682246813
2019-10,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.495818040093855,13.668697747225645,27.322933421707287
2019-10,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.121497941835703,20.18786749494958,34.055126328952504
2019-10,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.45601604509862,19.66281005973989,33.24922086742401
2019-11,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.137677365856604,19.069644907593002,33.205711480987034
2019-11,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.22680481998815,11.965077173506423,26.488530994747073
2019-11,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.620560470369316,18.688325209579325,34.552799489569566
2019-11,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.37112008508626,18.03743570496421,32.70480606323952
2019-12,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.23998261061904,16.29254212761686,32.187422048320435
2019-12,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.040440733689245,9.410843501559985,26.67004357159415
2019-12,CMIP6,MPI-ESM1-2-LR,SSP245,ML,24.945334252412543,15.440652833636289,34.45001662528108
2019-12,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.62806365591711,15.15842510886308,32.0977025871759
