Date,Source,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2015-01,ERA5,ERA5,OBSERVED,ArL,21.746007946942203,11.289367996507924,34.51966427702988
2015-01,ERA5,ERA5,OBSERVED,MH,16.872703655791206,7.736023737961301,28.011256684408128
2015-01,ERA5,ERA5,OBSERVED,ML,23.355296415782085,11.226516416676544,36.58282653381282
2015-01,ERA5,ERA5,OBSERVED,OVERALL,21.51396884789923,10.77244145597182,34.18649629746886
2015-02,ERA5,ERA5,OBSERVED,ArL,24.425744941943996,13.373893360809072,35.51697368642428
2015-02,ERA5,ERA5,OBSERVED,MH,19.0376529266758,9.281435656211427,29.20368347365947
2015-02,ERA5,ERA5,OBSERVED,ML,26.329599757761798,13.843271377901765,37.55109453662001
2015-02,ERA5,ERA5,OBSERVED,OVERALL,24.206798398507427,12.930325730283007,35.20402965709423
2015-03,ERA5,ERA5,OBSERVED,ArL,27.131643596051187,16.99580195979063,38.46334266846818
2015-03,ERA5,ERA5,OBSERVED,MH,20.83773677727576,11.869006402298078,30.40843290248635
2015-03,ERA5,ERA5,OBSERVED,ML,29.20595223205636,18.12050008304198,39.02404744632329
2015-03,ERA5,ERA5,OBSERVED,OVERALL,26.83215537718334,16.59304661873249,37.4974481458344
2015-04,ERA5,ERA5,OBSERVED,ArL,27.95424851098946,17.26254179519548,39.04637377075355
2015-04,ERA5,ERA5,OBSERVED,MH,21.684716988717092,12.533563545226407,31.165248699731023
2015-04,ERA5,ERA5,OBSERVED,ML,30.018729150512726,18.608971948256425,39.941262423182664
2015-04,ERA5,ERA5,OBSERVED,OVERALL,27.652969041135314,16.974823497079264,38.191995919200124
2015-05,ERA5,ERA5,OBSERVED,ArL,30.865620632132934,21.652098260762706,40.20572567236401
2015-05,ERA5,ERA5,OBSERVED,MH,22.50536344267625,14.252514918082936,31.839745890493084
2015-05,ERA5,ERA5,OBSERVED,ML,29.910552955726338,20.857591278182976,40.450291547207804
2015-05,ERA5,ERA5,OBSERVED,OVERALL,29.430598860343277,20.39560717948491,39.103633557400286
2015-06,ERA5,ERA5,OBSERVED,ArL,30.727931747668396,21.571593975978928,40.26231205173175
2015-06,ERA5,ERA5,OBSERVED,MH,22.61658723828778,13.318497383296544,32.375114664764574
2015-06,ERA5,ERA5,OBSERVED,ML,28.532303613709974,19.2039579696388,39.21799753587478
2015-06,ERA5,ERA5,OBSERVED,OVERALL,28.982657974518542,19.77194274088345,38.861543342388906
2015-07,ERA5,ERA5,OBSERVED,ArL,29.94785812666371,21.991392134385002,38.07596513752196
2015-07,ERA5,ERA5,OBSERVED,MH,21.173056012625434,13.597916133271191,29.48013864369886
2015-07,ERA5,ERA5,OBSERVED,ML,26.59960275753098,19.356055527890693,35.82548549834605
2015-07,ERA5,ERA5,OBSERVED,OVERALL,27.787461237374995,20.097953260314096,36.24600099017149
2015-08,ERA5,ERA5,OBSERVED,ArL,28.682594748654466,22.21858203248448,36.692789498626034
2015-08,ERA5,ERA5,OBSERVED,MH,20.276540563419964,14.59688169533651,27.979800323177503
2015-08,ERA5,ERA5,OBSERVED,ML,24.61730888251927,19.10979445182594,32.65945456470326
2015-08,ERA5,ERA5,OBSERVED,OVERALL,26.373164172275253,20.290795318513737,34.346581553995435
2015-09,ERA5,ERA5,OBSERVED,ArL,29.736155274275582,20.95874327330386,39.00173299796272
2015-09,ERA5,ERA5,OBSERVED,MH,21.105222058188758,12.888667194282997,30.304918070056438
2015-09,ERA5,ERA5,OBSERVED,ML,26.154794871117257,17.85300291366308,36.72377823178667
2015-09,ERA5,ERA5,OBSERVED,OVERALL,27.531208029811435,18.97262215373686,37.139971708232515
2015-10,ERA5,ERA5,OBSERVED,ArL,28.89752399064377,20.338954457406277,37.056959445708465
2015-10,ERA5,ERA5,OBSERVED,MH,20.52989957639171,13.21283269228384,28.326733587572054
2015-10,ERA5,ERA5,OBSERVED,ML,28.20153230265526,19.640103239506765,36.958157051291245
2015-10,ERA5,ERA5,OBSERVED,OVERALL,27.532841238040806,19.147668312050424,35.8079106843192
2015-11,ERA5,ERA5,OBSERVED,ArL,26.19539621254706,18.14235694563233,34.974750013481085
2015-11,ERA5,ERA5,OBSERVED,MH,19.217693849114927,12.063856754743506,27.271744367158835
2015-11,ERA5,ERA5,OBSERVED,ML,27.464412504252806,18.2789199572711,35.792830136097756
2015-11,ERA5,ERA5,OBSERVED,OVERALL,25.57506826934239,17.331482064566153,34.12724152933695
2015-12,ERA5,ERA5,OBSERVED,ArL,22.479299191712823,13.649319926268777,33.545180113903676
2015-12,ERA5,ERA5,OBSERVED,MH,17.74178051946825,10.734444371462612,26.16472299676611
2015-12,ERA5,ERA5,OBSERVED,ML,24.226458337523255,13.885309148763957,34.72737325661662
2015-12,ERA5,ERA5,OBSERVED,OVERALL,22.301071720199833,13.299469863883841,32.84088170364475
2016-01,ERA5,ERA5,OBSERVED,ArL,21.7280172250825,10.769099785916831,31.505042144492936
2016-01,ERA5,ERA5,OBSERVED,MH,17.63368236945159,8.639911060780374,26.48877171441437
2016-01,ERA5,ERA5,OBSERVED,ML,23.645220083412692,11.464455009469347,34.40550995905733
2016-01,ERA5,ERA5,OBSERVED,OVERALL,21.688327404284507,10.66121802038971,31.617179352782816
2016-02,ERA5,ERA5,OBSERVED,ArL,23.70999179944214,13.924446086973504,35.77125063320133
2016-02,ERA5,ERA5,OBSERVED,MH,19.103197645644407,10.865218065742123,29.497450575355483
2016-02,ERA5,ERA5,OBSERVED,ML,26.3064112108276,14.393926732031,39.20224081246418
2016-02,ERA5,ERA5,OBSERVED,OVERALL,23.790137328428624,13.624448834484848,35.85467994169918
2016-03,ERA5,ERA5,OBSERVED,ArL,27.88395797229922,16.68813496395549,40.277803574644444
2016-03,ERA5,ERA5,OBSERVED,MH,22.252796342771717,12.622165880350932,32.31582301489347
2016-03,ERA5,ERA5,OBSERVED,ML,30.05190560753879,16.946522137387053,41.13039328718694
2016-03,ERA5,ERA5,OBSERVED,OVERALL,27.703505742723447,16.195143003432822,39.411277677410844
2016-04,ERA5,ERA5,OBSERVED,ArL,28.65662575592518,17.933317222220367,37.86309485214189
2016-04,ERA5,ERA5,OBSERVED,MH,21.498234458959075,12.916776767608983,30.44406742597162
2016-04,ERA5,ERA5,OBSERVED,ML,30.43199922630444,19.580744144613266,39.98057860153008
2016-04,ERA5,ERA5,OBSERVED,OVERALL,28.155172622064054,17.690990521187054,37.42601629736091
2016-05,ERA5,ERA5,OBSERVED,ArL,30.40662407187861,21.679199865751176,39.48159368309486
2016-05,ERA5,ERA5,OBSERVED,MH,21.844241094431776,13.961213542858072,30.793466998891304
2016-05,ERA5,ERA5,OBSERVED,ML,29.380544576585226,20.699654534961933,38.770908931344984
2016-05,ERA5,ERA5,OBSERVED,OVERALL,28.926876063494017,20.333691084865457,38.06922855855231
2016-06,ERA5,ERA5,OBSERVED,ArL,30.839774266940097,22.26552002459365,40.470047695387855
