Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2026-07,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,28.295674401332462,21.822855578025667,34.76848900099185
2026-08,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,27.280156631860105,21.886560336184022,32.67374987187475
2026-08,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.347940323921925,15.190140302147036,25.505739816538046
2026-08,NEAR_TERM_2026_2050,NESM3,SSP245,ML,25.260080239161532,20.397632477943556,30.12253685025426
2026-08,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,25.81745264867992,20.602635593746456,31.032270234988086
2026-09,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,27.622048256219706,21.975154544034442,33.26893812551495
2026-09,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.637750889052896,14.733765093261612,26.54173388195635
2026-09,NEAR_TERM_2026_2050,NESM3,SSP245,ML,26.269363927179423,20.626310191631692,31.91242336053063
2026-09,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,26.337164092006955,20.658828092752877,32.01549922907952
2026-10,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,27.960900631677468,21.048917840000204,34.87288327805357
2026-10,NEAR_TERM_2026_2050,NESM3,SSP245,MH,21.197083013964004,13.994178995624939,28.399989868263315
2026-10,NEAR_TERM_2026_2050,NESM3,SSP245,ML,27.927442538677322,20.4589135091265,35.39597760486816
2026-10,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,27.070521444344806,19.96599944125433,34.175045283803726
2026-11,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,27.688215980291258,21.171663297530692,34.20477081871359
2026-11,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.99394875368562,14.233858059842063,27.754044424928793
2026-11,NEAR_TERM_2026_2050,NESM3,SSP245,ML,28.41572468035237,21.256432044375483,35.57501599665019
2026-11,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,27.018986057738655,20.292410990987584,33.7455623461306
2026-12,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,24.42265929568553,17.549592308404453,31.29572649549668
